level,neuron_index,parent_neuron_index,class_label,coord_dim1,coord_dim2,win_count
0,0,-1,0,1.4081639112171827,0.7401750551381391,15
1,0,0,0,1.5179006802174766,0.8199492819648257,1
1,1,0,0,1.4272020584905438,0.5854736275707105,4
2,0,1,0,1.4222223875465776,0.5451287637082631,1
2,1,1,0,1.425091699386239,0.5999644965520947,2
2,2,1,0,1.4351509150703046,0.5735742553494957,1
1,2,0,0,1.37694057848946,0.684296105258038,2
1,3,0,0,1.3192297669005058,0.7761937236802339,2
1,4,0,0,1.4338864108423768,0.7799252893298535,1
1,5,0,0,1.414452113994807,0.8285140947041791,3
2,0,5,0,1.3772773630420543,0.9008460777784888,1
2,1,5,0,1.4038672918772799,0.8179642572174036,2
2,2,5,0,1.3897426500883776,0.8596631596034906,0
1,6,0,0,1.455289761411093,0.7361010714447646,2
1,7,0,0,1.4661763971061417,0.8242316883345024,0
0,1,-1,0,0.6506818705286387,1.4976895496673128,5
1,0,1,0,0.7981679811785529,1.7935563632583795,1
1,1,1,0,0.5066448297244678,1.4320060863072241,2
1,2,1,0,0.6918983464554065,1.5594727908783788,2
1,3,1,0,0.5992715880899371,1.4957394385928016,0
0,2,-1,0,0.8632360957715761,0.427729249114021,8
1,0,2,0,0.8963161592175801,0.2820628283023531,2
1,1,2,0,0.798454872462329,0.49821529442566204,2
1,2,2,0,0.8949799555569289,0.4095253919740779,2
1,3,2,0,0.8846594677662987,0.46549990023082144,2
1,4,2,0,0.8432372856036076,0.48207078599401304,0
0,3,-1,0,1.206690894858725,1.0221797726748134,14
1,0,3,0,1.280810455647232,0.9294445175322891,4
2,0,0,0,1.294467160067414,0.9558331467593706,2
2,1,0,0,1.2789861912691207,0.8705314774326974,1
2,2,0,0,1.2753760775366658,0.9092424515432078,1
1,1,3,0,1.0997320249125213,1.1416484872988304,2
1,2,3,0,1.235857696432657,1.0790431679915597,2
1,3,3,0,1.2107914342147885,0.967967307237922,1
1,4,3,0,1.1588988331042496,1.0929384388333951,0
1,5,3,0,1.2365484058718035,0.9408566733838895,3
2,0,5,0,1.2119900084907917,0.9189217488243056,1
2,1,5,0,1.2406700721768869,0.943731572987398,1
2,2,5,0,1.2284346976760605,0.9284734072802652,1
1,6,3,0,1.121620679544557,1.107293557124615,2
0,4,-1,0,0.7810040122160611,1.1073428542468737,13
1,0,4,0,0.5583385104442188,1.094824274156128,1
1,1,4,0,0.8514492479512243,1.157191333443128,4
